SN,model,"status
g:     good (no diff except for settings diffs and/or default values)
bin:  diff due to missing binary file info
x:     output.mdl is invalid
dis:  discarded model",remarks,present only in github (not in github-downloaded),,
72,Lib_Solve_ParameterRamp_TMATS,g,,,,
73,Lib_Solve_ParameterStep_TMATS,g,,,,
74,Lib_Solve_VectorCondition_TMATS,g,,,,
75,Lib_ThermoC_FlowAdd_TMATSC,g,,,,
76,Lib_ThermoC_FlowConvertToCan_TMATSC,g,,,,
77,Lib_ThermoC_setMN1_TMATSC,g,,,,
78,Lib_ThermoC_setPs_TMATSC,g,,,,
79,Lib_ThermoC_setSP_TMATSC,g,,,,
80,Lib_ThermoC_setTP_TMATSC,g,,,,
81,Lib_ThermoC_setTsPsMN_TMATSC,g,,,,
82,Lib_ThermoC_sethP_TMATSC,g,,,,
83,Lib_Thermo_Enth2Temp_TMATS,g,,,,
84,Lib_Thermo_IsentropicCompression_TMATS,g,,,,
85,Lib_Thermo_PT2S_TMATS,g,,,,
86,Lib_Thermo_SP2T_TMATS,g,,,,
87,Lib_Thermo_Temp2Enth_TMATS,g,,,,
88,Lib_TurboC_Ambient_TMATSC,g,,,,
89,Lib_TurboC_Burner_TMATSC,g,,,,
90,Lib_TurboC_Compressor_TMATSC,g,,,,
91,Lib_TurboC_Duct_TMATSC,g,,,,
92,Lib_TurboC_FlowStart_TMATSC,g,,,,
93,Lib_TurboC_Inlet_TMATSC,g,,,,
94,Lib_TurboC_Nozzle_TMATSC,g,,,,
95,Lib_TurboC_Splitter_TMATSC,g,,,,
96,Lib_TurboC_Turbine_TMATSC,g,,,,
97,Lib_Turbo_Ambient_TMATS,g,,,,
98,Lib_Turbo_Bleed_TMATS,g,,,,
99,Lib_Turbo_Burner_TMATS,g,,,,
100,Lib_Turbo_CompressorVG_TMATS,g,,,,
101,Lib_Turbo_Compressor_TMATS,g,,,,
102,Lib_Turbo_Duct_TMATS,g,,,,
103,Lib_Turbo_FlowPathChar_TMATS,g,,,,
104,Lib_Turbo_GearBox_TMATS,g,,,,
105,Lib_Turbo_HeatSoak_TMATS,g,,,,
106,Lib_Turbo_HeatXchang_TMATS,g,,,,
107,Lib_Turbo_Inlet_TMATS,g,,,,
108,Lib_Turbo_Mixer_TMATS,g,,,,
109,Lib_Turbo_NozzleVar_TMATS,g,,,,
110,Lib_Turbo_Nozzle_TMATS,g,,,,
111,Lib_Turbo_PGenerator_TMATS,g,,,,
112,Lib_Turbo_SFCCalc_TMATS,g,,,,
113,Lib_Turbo_Splitter_TMATS,g,,,,
114,Lib_Turbo_StaticCalc_TMATS,g,,,,
115,Lib_Turbo_TurbineNPSS_TMATS,g,,,,
116,Lib_Turbo_TurbinePSI_TMATS,g,,,,
117,Lib_Turbo_Turbine_TMATS,g,,,,
118,Lib_Turbo_ValvePHY_TMATS,g,,,,
119,Lib_Turbo_Valve_TMATS,g,,,,
120,Lib_Vol_FlowChar_TMATS,g,,,,
121,Lib_Vol_FlowStart_TMATS,g,,,,
122,Lib_Vol_Pipe_TMATS,g,,,,
123,Lib_Vol_PropLookup_TMATS,g,,,,
124,Lib_Vol_Valve_TMATS,g,,,,
125,Lib_Vol_VolumeVar_TMATS,g,,,,
126,Lib_Vol_Volume_TMATS,g,,,,
127,Lib_Vol_pipeCd_TMATS,g,,,,
128,LinStSpace,g,,,,
129,LinearSys2,bin,,,,
130,Mixer_TestBed,g,,,,
131,Mixer_TestBed1,g,,,,
132,Mod_Source_TestBed,g,,,,
133,ModeS_ADI_Codegen,bin,,,,
134,ModeS_FixPt_Pipelined_ADI,bin,,,,
135,ModeS_Simulink_libiio,bin,,,,
136,ModeS_testbench,bin,,,,
137,NewtonRaphson_Equation_Solver,g,,,,
138,Nozzle_TestBed,g,,,,
139,Nozzle_TestBed1,g,,,,
140,OSWEC,g,,,,
141,OSWEC1,g,,,,
142,OSWEC2,g,,,,
143,OSWEC3,g,,,,
144,Orientation,g,,,,
145,OutLoopInt_TestBed,g,,,,
146,PC_Quadcopter_Simulation,g*,minor diff due to non-ASCII character,,,
147,PID,bin,,,,
148,PID_LQR,bin,,,,
149,PR9,g,,,,
150,PTOSim_Lib,g,,,,
151,Power_Alpha,g,,,,
152,Prop_Alpha,g,,,,
153,QDMS4CSD,g*,minor diff due to non-ASCII character,,,
154,QTM2SI,g,,,,
155,RM3,g,,,,
156,RM31,g,,,,
157,RM32,g,,,,
158,RM33,g,,,,
159,RM34,g,,,,
160,RM35,g,,,,
161,RM36,g,,,,
162,RadioReceiver,g,,,,
163,Receiver,g,,,,
164,Receiver_FPGACap,bin,,,,
165,Receiver_FPGACapture,bin,,,,
166,Receiver_UnderTest_Fixed,g,,,,
167,Receiver_UnderTest_Float,bin,,,,
168,RxFloatingPointLibrary,bin,,,,
169,RxTxFixedPointLibrary,g,,,,
170,RxTxFixedPointLibrary_noscopes,bin,,,,
171,SL7_2_10,g*,minor diff due to non-ASCII character,,,
172,SL7_2_12,g*,minor diff due to non-ASCII character,,,
173,SL7_2_13,g*,minor diff due to non-ASCII character,,,
174,SL7_2_151,g,,,,
175,SL7_2_152,g,,,,
176,SL7_2_153,g,,,,
177,SL7_2_154,g,,,,
178,SL7_2_155,g,,,,
179,SL7_2_7,g*,minor diff due to non-ASCII character,,,
180,SL7_2_8,g*,minor diff due to non-ASCII character,,,
181,SS_OBSERVER,bin,,,,
182,Sensor_FO_TestBed,g,,,,
183,Shaft_TestBed,g,,,,
184,SolverDyn_TestBed,g,,,,
185,SolverSS_TestBed,g,,,,
186,Splitter_TestBed,g,,,,
187,StaticCalc_TestBed,g,,,,
188,StaticCalc_TestBed1,g,,,,
189,TMATSC_ThermoC,g,,,,
190,TMATSC_TurboC,g,,,,
191,TMATS_Control,g,,,,
192,TMATS_HeatXfer,g,,,,
193,TMATS_Lib,g,,,,
194,TMATS_NumericalMethods,g,,,,
195,TMATS_Solver,g,,,,
196,TMATS_Thermo,g,,,,
197,TMATS_Turbo,g,,,,
198,TMATS_Vol,g,,,,
199,Team37_Quadcopter_Simulation,g,,,,
200,TestAmbient,g,,,,
201,TestCompressor,g,,,,
202,TestDuct,g,,,,
203,TestFlowstart,g,,,,
204,TestNozzleChoked,g,,,,
205,TestNozzleUnchoked,g,,,,
206,TestSFC,g,,,,
207,TestSplitter,g,,,,
208,TestTurbine,g,,,,
209,Transmitter,bin,,,,
210,Transmitter1,g,,,,
211,Tube_Alpha,g,,,,
212,Tube_Alpha_sf,g,,,,
213,Turbine_PSI_TestBed,g,,,,
214,Turbine_PSI_TestBed1,g,,,,
215,Turbine_TestBed,g,,,,
216,Turbine_TestBed1,g,,,,
217,TwoTanksSystem_slx,g,,,,
218,VCond_TestBed,g,,,,
219,Valve_PHY_TestBed,g,,,,
220,Valve_PHY_TestBed1,g,,,,
221,Valve_TestBed,g,,,,
222,Valve_TestBed1,g,,,,
223,WECSim_Lib,g,,,,
224,WaterRunner_closed,bin,,,,
225,WaterRunner_open,g,,,,
226,XC,g,,,,
227,aa,g,,,,
228,ad9361_rx_wlan_testbench,bin,,,,
229,ad9361_rx_wlan_testbench_targeting,g,,,,
230,ad9361_sim,g,,,,
231,ad9364_sim,g,,,,
232,adi_ad9361_models,g*,conversion to r2019b (using matlab) failed,,,
233,analogicalgates,g,,,,
234,bianpinx1,g,,,,
235,can_observer,g,,,,
236,chap1_1,g,,,,
237,chap1_11,g,,,,
238,chap1_3,g,,,,
239,combinedTxRx,bin,,,,
240,combinedTxRx_ADIDMA,bin,,,,
241,combinedTxRx_ExternalMode,bin,,,,
242,combinedTxRx_StandardIQ,bin,,,,
243,ctrl_DP,g,,,,
244,ctrl_DP_basic,g,,,,
245,ctrl_DP_basic_valle,g,,,,
246,ctrl_sixaxis2force,g,,,,
247,ctrl_sixaxis2thruster,g,,,,
248,ctrl_student,g,,,,
249,ctrl_student - for MCLAB,g,,,,
250,ctrl_student_HIL,g,,,,
251,ctrl_switch,g,,,,
252,danxiangjiangya,g,,,,
253,danxiangtiaoya,g,,,,
254,daq2_sim,g,,,,
255,demostration09,g,,,,
256,demostration1,g,,,,
257,double_integrator,g,,,,
258,enginecontroller,dis,conversion to r2019b (using matlab) failed,,,
259,feedforward1,g,,,,
260,feedforward2,bin,,,,
261,final_model,g,,,,
262,fmcomms5,g,,,,
263,frequency_hopping,g,,,,
264,gm_combinedTxRx_ExternalMode_lib,g,,,,
265,h2t_TestBed,g,,,,
266,h2t_TestBed1,g,,,,
267,h_bridge_implementation,g,,,,
268,hackrf_library,g,,,,
269,hackrf_simple_tx_demo,g,,,,
270,hackrf_spectrum_scope_demo,g,,,,
271,hyperloop_arc,g,,,,
272,jieyue,g,,,,
273,measurement,g,,,,
274,mech_elec,g,,,,
275,modello,g,,,,
276,modello_fullyactuated,g,,,,
277,modello_underactuated,g,,,,
278,motion_cue,g,,,,
279,motorcontroller,g,,,,
280,nibian,g,,,,
281,p_force,g,,,,
282,pdcontrol,g,,,,
283,pdcontrol1,g,,,,
284,pdcontrol2,g,,,,
285,picpicpic,g,,,,
286,pidmodel,g,,,,
287,pidmodel1,g,,,,
288,powercontroller,g,,,,
289,prog1_mod,g,,,,
290,prog2,g,,,,
291,proj,g,,,,
292,pt2s_TestBed,g,,,,
293,pt2s_TestBed1,g,,,,
294,qpsktxrx,bin,,,,
295,quadtestmodel,g,,,,
296,rasberry,g,,,,
297,rester,g,,,,
298,rx,g,,,,
299,shengyazhanbo,g,,,,
300,simone,g,,,,
301,simulation,g,,,,
302,sl2ge_hyperloop,bin,,,,
303,sp2t_TestBed,g,,,,
304,sp2t_TestBed1,g,,,,
305,stepper_motor_implementation,g,,,,
306,t2h_TestBed,g,,,,
307,t2h_TestBed1,g,,,,
308,test,g,,,,
309,test1_5,g,,,,
310,test6_1,g,,,,
311,test6_1_2,g,,,,
312,test6_2_v1,g,,,,
313,testModel,g,,,,
314,testModel_Rx16Tx32,g,,,,
315,testModel_Tx32,g,,,,
316,testmodel1,g,,,,
317,transmissioncontroller,g,,,,
318,tx,bin,,,,
319,u2pwm,g,,,,
320,untitled,g,,,,
321,untitled1_slx,g,,,,
322,userdefined_funtion_test,g,,,,
323,vehiclecontroller,g,,,,
324,water_simp_model,g,,,,
325,wlan80211BeaconRx,bin,,,,
326,zh2fsk,g,,,,
327,zhengliu,g,,,,
328,GasTurbine_Dyn_Template,g,,yes,,
329,GasTurbine_SS_Template,g,,yes,,
330,JT9D_Model_Dyn,g,,yes,,
331,JT9D_Model_Lin,g,,yes,,
332,JT9D_Model_PWLin,g,,yes,,
333,JT9D_Model_SS,g,,yes,,
334,JT9D_SS_Cantera_Template,g,,yes,,
335,Lib_NM_NewtonRaphsonSolver_TMATS,g,,yes,,
336,Lib_Solve_IterNRSolverJC_TMATS,g,,yes,,
337,Lib_Solve_SSNRSolverJC_TMATS,g,,yes,,
338,Lib_Turbo_Shaft_TMATS,g,,yes,,
339,qpsk,bin,,yes,,
